Sr.,Job Start Date,Scrape Sale Qty.,Rate in Rs./Kg.,Amount in Rs.
1,2018-11-10 00:00:00,149,13.5,2011.5
2,2018-11-02 00:00:00,230,18,4140
3,2018-11-13 00:00:00,325,17,5525
4,2018-11-21 00:00:00,350,17,5950
5,2018-08-29 00:00:00,250,11,2750
6,2018-08-31 00:00:00,310,13,4030
7,2018-06-28 00:00:00,325,18,5850
8,2018-07-06 00:00:00,595,17,10115
9,2018-07-03 00:00:00,126.7,15,1900.5
10,2018-04-04 00:00:00,305.3,18,5495.4
11,2018-06-02 00:00:00,645,20,12900
12,2018-09-19 00:00:00,148,15,2220
13,2018-09-27 00:00:00,500,12,6000
14,2018-09-14 00:00:00,265,13,3445
15,2018-11-16 00:00:00,450,15,6750
16,2018-11-20 00:00:00,130,15,1950
17,2018-07-21 00:00:00,1135,11,12485
18,2018-07-30 00:00:00,352,14,4928
19,2018-11-02 00:00:00,390,17,6630
20,2018-10-07 00:00:00,650,16,10400
21,2018-09-28 00:00:00,565,18,10170
22,2018-10-05 00:00:00,240.92,14,3372.88
23,2018-10-08 00:00:00,120,15,1800
24,2018-10-15 00:00:00,365,16,5840
25,2018-10-20 00:00:00,390,23,8970
26,2018-11-27 00:00:00,185,16,2960
27,2018-11-29 00:00:00,210,16,3360
28,2018-09-13 00:00:00,960,17,16320
29,2018-09-18 00:00:00,175,16,2800
30,2018-09-23 00:00:00,460,17,7820
31,2018-11-07 00:00:00,730,17,12410
32,2018-09-05 00:00:00,920,16.5,15180
33,2018-08-04 00:00:00,146,11,1606
34,2018-08-07 00:00:00,100,11.52,1152
35,2018-08-09 00:00:00,110,11.52,1267.2
36,2018-08-10 00:00:00,420,10,4200
37,2018-08-22 00:00:00,310,15,4650
38,2018-08-26 00:00:00,380,14,5320
39,2018-08-09 00:00:00,1475,17,25075
40,2018-06-20 00:00:00,246,10,2460
41,2018-06-22 00:00:00,70,10,700
42,2018-10-12 00:00:00,225,13,2925
43,2018-10-23 00:00:00,293,13,3809
44,2018-02-14 00:00:00,363,15,5445
45,2018-11-23 00:00:00,200,16,3200
46,2018-06-04 00:00:00,665,12,7980
47,2018-06-22 00:00:00,590,11,6490
48,2018-10-30 00:00:00,225,15,3375
49,2018-10-30 00:00:00,110,12,1320
50,2018-09-27 00:00:00,360,13,4680
51,2018-10-06 00:00:00,175,13,2275
52,2018-11-10 00:00:00,530,14,7420
53,2018-05-07 00:00:00,1100,12,13200
54,2018-06-28 00:00:00,245,10,2450
55,2018-06-30 00:00:00,228,11,2508
56,2018-08-05 00:00:00,330,15,4950
57,2018-08-08 00:00:00,260,10,2600
58,2018-08-13 00:00:00,1230,20,24600
59,2018-05-11 00:00:00,720,15,10800
60,2018-05-17 00:00:00,83,12,996
61,2018-05-20 00:00:00,305,16,4880
62,2018-11-06 00:00:00,140,12,1680
63,2018-03-30 00:00:00,320,10,3200
64,2018-04-04 00:00:00,525,10,5250
65,2018-09-22 00:00:00,365,11,4015
66,2018-04-19 00:00:00,254,12,3048
67,2018-04-24 00:00:00,178,11,1958
68,2018-04-26 00:00:00,98,16,1568
69,2018-03-31 00:00:00,545,12,6540
70,2018-04-03 00:00:00,385,10,3850
71,2018-04-08 00:00:00,345,12,4140
72,2018-04-13 00:00:00,320,12,3840
73,2018-04-30 00:00:00,650,15,9750
74,2018-06-06 00:00:00,170,14,2380
75,2018-05-13 00:00:00,570,10,5700
76,2018-07-14 00:00:00,670,14,9380
77,2018-07-24 00:00:00,290,14,4060
78,2018-08-26 00:00:00,620,14,8680
79,2018-08-16 00:00:00,280,12,3360
80,2018-08-14 00:00:00,100,17,1700
81,2018-10-18 00:00:00,1340,16,21440
82,2018-08-02 00:00:00,140,12,1680
83,2018-07-26 00:00:00,520,12,6240
84,2018-07-13 00:00:00,260,10,2600
85,2018-07-17 00:00:00,775,10,7750
86,2018-07-24 00:00:00,155,12,1860
87,2018-07-24 00:00:00,725,19,13775
88,2018-07-26 00:00:00,210,13,2730
89,2018-07-29 00:00:00,575,15,8625
90,2018-07-02 00:00:00,260,15,3900
91,2018-06-29 00:00:00,500,13,6500
92,2018-07-02 00:00:00,102,13,1326
93,2018-07-09 00:00:00,800,12,9600
94,2018-09-19 00:00:00,148,15,2220
95,2018-09-27 00:00:00,500,12,6000
96,2018-09-14 00:00:00,265,13,3445
97,2018-11-16 00:00:00,450,15,6750
98,2018-11-20 00:00:00,130,15,1950
99,2018-07-21 00:00:00,1135,11,12485
100,2018-07-30 00:00:00,352,14,4928
101,2019-02-21 00:00:00,220,16,3520
102,2019-02-24 00:00:00,181,17,3077
103,2019-02-26 00:00:00,227,16,3632
104,2019-03-02 00:00:00,355,18.5,6567.5
105,2019-01-28 00:00:00,340,15,5100
106,2019-02-06 00:00:00,570,9,5130
107,2019-02-16 00:00:00,1320,16.5,21780
